QUERY_ID,TCU_JURIS_DOCS,BM25_DOCS,BM25_RR_DOCS,STS_DOCS,STS_RR_DOCS,BM25_STS_RR_DOCS,TCU_SEARCH_DOCS
1,1,18,13,16,15,17,20
2,6,16,16,5,1,16,17
3,1,16,7,6,6,8,20
4,3,20,20,7,6,20,20
5,3,20,20,12,11,20,20
6,4,14,13,13,9,14,20
7,5,20,20,14,13,20,20
8,0,16,11,5,3,11,20
9,2,14,9,5,3,9,20
10,10,16,16,13,11,18,20
11,4,19,19,7,5,19,20
12,10,13,13,12,12,13,13
13,8,8,8,6,6,8,8
14,5,20,20,11,8,20,20
15,6,18,11,10,2,12,20
16,6,17,17,2,1,17,20
17,1,10,10,0,0,10,10
18,8,16,12,12,11,15,20
19,0,18,18,13,8,18,20
20,5,10,10,7,6,10,10
21,5,19,19,19,16,19,20
22,4,20,20,5,4,20,20
23,2,20,18,10,8,18,20
24,0,5,0,4,4,4,20
25,2,20,14,7,7,15,20
26,2,16,8,3,2,9,20
27,6,17,17,11,9,17,20
28,6,8,8,0,0,8,8
29,2,18,13,0,0,13,20
30,3,15,13,7,4,13,20
31,1,18,18,8,4,18,20
32,6,6,6,6,6,6,6
33,6,12,11,11,10,15,20
34,3,20,19,4,2,19,20
35,7,19,11,19,16,16,20
36,2,11,10,7,5,11,20
37,2,19,19,19,15,19,20
38,2,18,17,4,3,18,20
39,5,19,15,7,5,15,20
40,4,4,4,2,1,4,4
41,1,17,13,8,6,13,20
42,7,15,12,17,15,17,20
43,8,8,8,6,6,8,9
44,8,10,10,11,10,13,14
45,7,19,18,12,6,18,20
46,8,19,19,8,6,19,19
47,7,18,18,19,17,18,20
48,9,18,18,11,11,18,19
49,0,16,11,3,3,11,20
50,4,18,17,8,6,18,20
51,2,2,2,0,0,2,2
52,8,20,14,13,11,14,20
53,1,4,4,3,1,4,4
54,9,9,9,3,1,9,9
55,3,3,3,2,2,3,3
56,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1
58,2,2,2,2,2,2,2
59,2,2,2,0,0,2,2
60,10,20,20,18,16,20,20
61,1,1,1,1,1,1,1
62,3,3,3,3,3,3,3
63,8,8,8,5,2,8,8
64,2,16,16,12,10,16,16
65,2,3,3,1,1,3,3
66,4,4,4,1,1,4,4
67,7,20,20,12,6,20,20
68,1,1,1,0,0,1,1
69,4,4,4,4,4,4,4
70,5,9,9,9,9,9,9
71,2,3,3,3,2,3,3
72,8,18,17,19,18,20,20
73,2,2,2,2,2,2,2
74,4,4,4,4,4,4,4
75,1,1,1,1,1,1,1
76,7,7,7,7,7,7,7
77,1,1,1,1,1,1,1
78,4,5,5,5,5,5,5
79,2,2,2,2,2,2,2
80,3,3,3,3,2,3,3
81,2,2,2,2,2,2,2
82,1,1,1,1,1,1,1
83,4,4,4,3,3,4,4
85,2,3,3,3,1,3,3
86,7,11,11,9,9,11,11
87,2,2,2,1,1,2,2
88,3,3,3,3,3,3,3
90,2,3,3,2,2,3,3
91,1,1,1,2,2,2,2
92,1,1,1,1,1,1,1
93,1,1,1,1,1,1,1
94,6,8,8,4,2,8,8
95,8,8,8,8,7,8,8
96,1,1,1,1,1,1,1
97,1,1,1,1,1,1,1
98,2,2,2,2,2,2,2
99,1,1,1,1,1,1,1
100,2,3,3,1,1,3,3
101,1,1,1,1,1,1,1
117,1,2,2,1,0,2,2
122,1,1,1,1,1,1,1
137,1,1,1,1,1,1,1
140,2,2,2,2,2,2,2
145,4,4,4,4,4,4,4
149,1,1,1,1,1,1,1
